time,s70,RNAP,s70_RNAP,Pg,Pg_s70_RNAP,s32,RNAP_s32,Ph,Ph_RNAP_s32,DnaK,s32_DnaK,FtsH,s32_FtsH,Punfold,Punfold_DnaK,D,D_s70_RNAP,D_RNAP_s32,RNAP_D,s32_DnaK_FtsH,Pfold,mRNA_s32,mRNA_DnaK,mRNA_FtsH,mRNA_Protein
-6.000000e+01,6.533850e-10,2.781883e-10,1.817641e-10,8.597317e-06,1.562683e-06,5.653328e-11,1.572690e-11,7.502017e-08,1.179834e-09,1.011685e-06,5.719387e-10,9.867260e-07,5.578285e-09,2.485938e-05,2.514986e-05,1.180000e-02,2.144816e-07,1.855774e-08,3.282622e-06,5.643468e-08,5.029992e-03,1.562683e-08,3.932781e-08,1.573113e-09,7.620000e-06
-5.950000e+01,6.535418e-10,2.781215e-10,1.817640e-10,8.597317e-06,1.562683e-06,5.881447e-11,1.635537e-11,7.497378e-08,1.226224e-09,1.047940e-06,6.160230e-10,9.840583e-07,5.787657e-09,2.436192e-05,2.515255e-05,1.180000e-02,2.144815e-07,1.929934e-08,3.281834e-06,6.061994e-08,5.030487e-03,1.745713e-08,4.779060e-08,1.911624e-09,7.620000e-06
-5.900000e+01,6.535718e-10,2.781087e-10,1.817640e-10,8.597317e-06,1.562683e-06,5.923996e-11,1.647557e-11,7.496491e-08,1.235090e-09,1.150691e-06,6.813212e-10,9.825074e-07,5.820341e-09,2.219614e-05,2.516346e-05,1.180000e-02,2.144815e-07,1.944117e-08,3.281683e-06,6.693997e-08,5.032642e-03,1.888257e-08,5.489289e-08,2.195716e-09,7.620000e-06
-5.850000e+01,6.533654e-10,2.781966e-10,1.817640e-10,8.597317e-06,1.562683e-06,5.624263e-11,1.564880e-11,7.502594e-08,1.174066e-09,1.310961e-06,7.369437e-10,9.843656e-07,5.536304e-09,1.949302e-05,2.517693e-05,1.180000e-02,2.144816e-07,1.846558e-08,3.282720e-06,7.254183e-08,5.035331e-03,1.999270e-08,6.001448e-08,2.400580e-09,7.620000e-06
-5.800000e+01,6.530445e-10,2.783334e-10,1.817641e-10,8.597317e-06,1.562683e-06,5.159140e-11,1.436247e-11,7.512108e-08,1.078924e-09,1.509990e-06,7.786295e-10,9.889858e-07,5.102292e-09,1.693222e-05,2.518963e-05,1.180000e-02,2.144816e-07,1.694771e-08,3.284334e-06,7.700495e-08,5.037879e-03,2.085727e-08,6.286415e-08,2.514566e-09,7.620000e-06
-5.750000e+01,6.527154e-10,2.784738e-10,1.817641e-10,8.597316e-06,1.562684e-06,4.682548e-11,1.304233e-11,7.521897e-08,9.810306e-10,1.726984e-06,8.082571e-10,9.952312e-07,4.660195e-09,1.481087e-05,2.520012e-05,1.180000e-02,2.144817e-07,1.538995e-08,3.285990e-06,8.043985e-08,5.039990e-03,2.153060e-08,6.371018e-08,2.548407e-09,7.620000e-06
-5.700000e+01,6.524275e-10,2.785967e-10,1.817642e-10,8.597316e-06,1.562684e-06,4.265740e-11,1.188640e-11,7.530490e-08,8.951043e-10,1.944260e-06,8.289485e-10,1.002111e-06,4.274722e-09,1.315997e-05,2.520828e-05,1.180000e-02,2.144817e-07,1.402595e-08,3.287441e-06,8.306938e-08,5.041633e-03,2.205499e-08,6.307535e-08,2.523014e-09,7.620000e-06
-5.650000e+01,6.521928e-10,2.786970e-10,1.817642e-10,8.597316e-06,1.562684e-06,3.926035e-11,1.094344e-11,7.537514e-08,8.248632e-10,2.149278e-06,8.433824e-10,1.008932e-06,3.961084e-09,1.190757e-05,2.521446e-05,1.180000e-02,2.144817e-07,1.291326e-08,3.288625e-06,8.509113e-08,5.042879e-03,2.246338e-08,6.148581e-08,2.459432e-09,7.620000e-06
-5.600000e+01,6.520076e-10,2.787762e-10,1.817642e-10,8.597316e-06,1.562684e-06,3.658062e-11,1.019907e-11,7.543068e-08,7.693227e-10,2.334402e-06,8.535002e-10,1.015271e-06,3.713908e-09,1.096529e-05,2.521912e-05,1.180000e-02,2.144817e-07,1.203490e-08,3.289559e-06,8.665300e-08,5.043817e-03,2.278144e-08,5.936614e-08,2.374646e-09,7.620000e-06
-5.550000e+01,6.518639e-10,2.788377e-10,1.817642e-10,8.597316e-06,1.562684e-06,3.450111e-11,9.621117e-12,7.547386e-08,7.261429e-10,2.495830e-06,8.606458e-10,1.020899e-06,3.522198e-09,1.025750e-05,2.522262e-05,1.180000e-02,2.144818e-07,1.135292e-08,3.290284e-06,8.786280e-08,5.044521e-03,2.302915e-08,5.702266e-08,2.280907e-09,7.620000e-06
-5.500000e+01,6.517536e-10,2.788849e-10,1.817642e-10,8.597316e-06,1.562684e-06,3.290460e-11,9.177221e-12,7.550706e-08,6.929450e-10,2.632443e-06,8.657462e-10,1.025716e-06,3.375060e-09,9.726179e-06,2.522524e-05,1.180000e-02,2.144818e-07,1.082912e-08,3.290842e-06,8.880050e-08,5.045050e-03,2.322206e-08,5.466093e-08,2.186437e-09,7.620000e-06
-5.450000e+01,6.516697e-10,2.789208e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.169166e-11,8.839864e-12,7.553231e-08,6.676954e-10,2.744872e-06,8.694441e-10,1.029706e-06,3.263294e-09,9.328526e-06,2.522720e-05,1.180000e-02,2.144818e-07,1.043104e-08,3.291265e-06,8.952675e-08,5.045445e-03,2.337230e-08,5.241048e-08,2.096419e-09,7.620000e-06
-5.400000e+01,6.516069e-10,2.789477e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.078302e-11,8.587072e-12,7.555124e-08,6.487639e-10,2.834806e-06,8.721847e-10,1.032907e-06,3.179583e-09,9.033101e-06,2.522866e-05,1.180000e-02,2.144818e-07,1.013274e-08,3.291583e-06,9.008810e-08,5.045739e-03,2.348931e-08,5.034682e-08,2.013873e-09,7.620000e-06
-5.350000e+01,6.515608e-10,2.789674e-10,1.817643e-10,8.597315e-06,1.562685e-06,3.011635e-11,8.401557e-12,7.556514e-08,6.348648e-10,2.904509e-06,8.742758e-10,1.035384e-06,3.118182e-09,8.816698e-06,2.522973e-05,1.180000e-02,2.144818e-07,9.913836e-09,3.291816e-06,9.052066e-08,5.045955e-03,2.358044e-08,4.850842e-08,1.940337e-09,7.620000e-06
-5.300000e+01,6.515281e-10,2.789815e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.964273e-11,8.269734e-12,7.557502e-08,6.249853e-10,2.956497e-06,8.759288e-10,1.037219e-06,3.074585e-09,8.661924e-06,2.523049e-05,1.180000e-02,2.144818e-07,9.758285e-09,3.291981e-06,9.085254e-08,5.046109e-03,2.365141e-08,4.690932e-08,1.876373e-09,7.620000e-06
-5.250000e+01,6.515060e-10,2.789909e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.932340e-11,8.180833e-12,7.558168e-08,6.183211e-10,2.993329e-06,8.772871e-10,1.038500e-06,3.045219e-09,8.555518e-06,2.523102e-05,1.180000e-02,2.144818e-07,9.653382e-09,3.292093e-06,9.110578e-08,5.046214e-03,2.370668e-08,4.554770e-08,1.821908e-09,7.620000e-06
-5.200000e+01,6.514924e-10,2.789967e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.912724e-11,8.126200e-12,7.558578e-08,6.142252e-10,3.017471e-06,8.784466e-10,1.039313e-06,3.027216e-09,8.487175e-06,2.523135e-05,1.180000e-02,2.144818e-07,9.588916e-09,3.292161e-06,9.129761e-08,5.046282e-03,2.374972e-08,4.441192e-08,1.776477e-09,7.620000e-06
-5.150000e+01,6.514856e-10,2.789997e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.902888e-11,8.098783e-12,7.558783e-08,6.121695e-10,3.031222e-06,8.794695e-10,1.039741e-06,3.018237e-09,8.448722e-06,2.523154e-05,1.180000e-02,2.144818e-07,9.556564e-09,3.292196e-06,9.144160e-08,5.046321e-03,2.378325e-08,4.348462e-08,1.739385e-09,7.620000e-06
-5.100000e+01,6.514841e-10,2.790003e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.900736e-11,8.092749e-12,7.558829e-08,6.117170e-10,3.036665e-06,8.803955e-10,1.039861e-06,3.016347e-09,8.433612e-06,2.523161e-05,1.180000e-02,2.144818e-07,9.549443e-09,3.292203e-06,9.154844e-08,5.046336e-03,2.380936e-08,4.274549e-08,1.709820e-09,7.620000e-06
-5.050000e+01,6.514867e-10,2.789992e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.904512e-11,8.103217e-12,7.558750e-08,6.125019e-10,3.035653e-06,8.812484e-10,1.039741e-06,3.019927e-09,8.436439e-06,2.523160e-05,1.180000e-02,2.144818e-07,9.561795e-09,3.292190e-06,9.162658e-08,5.046333e-03,2.382969e-08,4.217300e-08,1.686920e-09,7.620000e-06
-5.000000e+01,6.514924e-10,2.789968e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.912740e-11,8.126074e-12,7.558579e-08,6.142157e-10,3.029801e-06,8.820414e-10,1.039443e-06,3.027611e-09,8.452718e-06,2.523151e-05,1.180000e-02,2.144818e-07,9.588767e-09,3.292162e-06,9.168268e-08,5.046317e-03,2.384553e-08,4.174560e-08,1.669824e-09,7.620000e-06
-4.950000e+01,6.515003e-10,2.789934e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.924166e-11,8.157834e-12,7.558341e-08,6.165968e-10,3.020495e-06,8.827813e-10,1.039017e-06,3.038242e-09,8.478694e-06,2.523138e-05,1.180000e-02,2.144818e-07,9.626243e-09,3.292122e-06,9.172200e-08,5.046291e-03,2.385786e-08,4.144247e-08,1.657699e-09,7.620000e-06
-4.900000e+01,6.515096e-10,2.789894e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.937726e-11,8.195533e-12,7.558058e-08,6.194231e-10,3.008901e-06,8.834708e-10,1.038508e-06,3.050837e-09,8.511307e-06,2.523122e-05,1.180000e-02,2.144818e-07,9.670728e-09,3.292074e-06,9.174872e-08,5.046258e-03,2.386747e-08,4.124395e-08,1.649758e-09,7.620000e-06
-4.850000e+01,6.515199e-10,2.789850e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.952525e-11,8.236686e-12,7.557750e-08,6.225080e-10,2.995984e-06,8.841102e-10,1.037954e-06,3.064570e-09,8.547941e-06,2.523104e-05,1.180000e-02,2.144818e-07,9.719288e-09,3.292023e-06,9.176611e-08,5.046222e-03,2.387495e-08,4.113182e-08,1.645273e-09,7.620000e-06
-4.800000e+01,6.515304e-10,2.789805e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.967822e-11,8.279223e-12,7.557431e-08,6.256966e-10,2.982526e-06,8.846988e-10,1.037384e-06,3.078754e-09,8.586450e-06,2.523085e-05,1.180000e-02,2.144818e-07,9.769483e-09,3.291969e-06,9.177674e-08,5.046184e-03,2.388078e-08,4.108948e-08,1.643579e-09,7.620000e-06
-4.750000e+01,6.515409e-10,2.789760e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.983012e-11,8.321468e-12,7.557114e-08,6.288628e-10,2.969138e-06,8.852357e-10,1.036821e-06,3.092833e-09,8.625101e-06,2.523065e-05,1.180000e-02,2.144818e-07,9.819332e-09,3.291916e-06,9.178261e-08,5.046145e-03,2.388531e-08,4.110201e-08,1.644080e-09,7.620000e-06
-4.700000e+01,6.515510e-10,2.789716e-10,1.817643e-10,8.597315e-06,1.562685e-06,2.997615e-11,8.362081e-12,7.556810e-08,6.319065e-10,2.956290e-06,8.857202e-10,1.036283e-06,3.106363e-09,8.662521e-06,2.523047e-05,1.180000e-02,2.144818e-07,9.867255e-09,3.291865e-06,9.178526e-08,5.046108e-03,2.388885e-08,4.115615e-08,1.646246e-09,7.620000e-06
-4.650000e+01,6.515605e-10,2.789676e-10,1.817643e-10,8.597315e-06,1.562685e-06,3.011264e-11,8.400043e-12,7.556525e-08,6.347514e-10,2.944325e-06,8.861525e-10,1.035785e-06,3.119006e-09,8.697662e-06,2.523029e-05,1.180000e-02,2.144818e-07,9.912050e-09,3.291817e-06,9.178585e-08,5.046073e-03,2.389160e-08,4.124032e-08,1.649613e-09,7.620000e-06
-4.600000e+01,6.515690e-10,2.789639e-10,1.817643e-10,8.597315e-06,1.562685e-06,3.023703e-11,8.434639e-12,7.556266e-08,6.373437e-10,2.933472e-06,8.865331e-10,1.035333e-06,3.130524e-09,8.729786e-06,2.523013e-05,1.180000e-02,2.144818e-07,9.952873e-09,3.291774e-06,9.178526e-08,5.046041e-03,2.389375e-08,4.134462e-08,1.653785e-09,7.620000e-06
-4.550000e+01,6.515767e-10,2.789606e-10,1.817643e-10,8.597315e-06,1.562685e-06,3.034767e-11,8.465414e-12,7.556035e-08,6.396496e-10,2.923867e-06,8.868636e-10,1.034934e-06,3.140768e-09,8.758417e-06,2.522999e-05,1.180000e-02,2.144818e-07,9.989187e-09,3.291735e-06,9.178409e-08,5.046012e-03,2.389542e-08,4.146073e-08,1.658429e-09,7.620000e-06
-4.500000e+01,6.515833e-10,2.789578e-10,1.817643e-10,8.597315e-06,1.562685e-06,3.044372e-11,8.492131e-12,7.555835e-08,6.416514e-10,2.915570e-06,8.871461e-10,1.034590e-06,3.149661e-09,8.783298e-06,2.522987e-05,1.180000e-02,2.144818e-07,1.002071e-08,3.291702e-06,9.178278e-08,5.045988e-03,2.389672e-08,4.158180e-08,1.663272e-09,7.620000e-06
-4.450000e+01,6.515889e-10,2.789554e-10,1.817643e-10,8.597315e-06,1.562685e-06,3.052502e-11,8.514746e-12,7.555666e-08,6.433457e-10,2.908583e-06,8.873836e-10,1.034300e-06,3.157186e-09,8.804362e-06,2.522976e-05,1.180000e-02,2.144818e-07,1.004740e-08,3.291674e-06,9.178161e-08,5.045967e-03,2.389773e-08,4.170235e-08,1.668094e-09,7.620000e-06
-4.400000e+01,6.515936e-10,2.789534e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.059196e-11,8.533368e-12,7.555526e-08,6.447408e-10,2.902858e-06,8.875793e-10,1.034062e-06,3.163383e-09,8.821695e-06,2.522968e-05,1.180000e-02,2.144818e-07,1.006937e-08,3.291650e-06,9.178075e-08,5.045949e-03,2.389852e-08,4.181815e-08,1.672726e-09,7.620000e-06
-4.350000e+01,6.515972e-10,2.789518e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.064536e-11,8.548225e-12,7.555415e-08,6.458539e-10,2.898313e-06,8.877369e-10,1.033873e-06,3.168326e-09,8.835502e-06,2.522961e-05,1.180000e-02,2.144818e-07,1.008690e-08,3.291632e-06,9.178027e-08,5.045936e-03,2.389913e-08,4.192612e-08,1.677045e-09,7.620000e-06
-4.300000e+01,6.516001e-10,2.789506e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.068635e-11,8.559630e-12,7.555330e-08,6.467083e-10,2.894844e-06,8.878605e-10,1.033729e-06,3.172120e-09,8.846071e-06,2.522956e-05,1.180000e-02,2.144818e-07,1.010036e-08,3.291617e-06,9.178022e-08,5.045925e-03,2.389961e-08,4.202414e-08,1.680965e-09,7.620000e-06
-4.250000e+01,6.516021e-10,2.789497e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.071626e-11,8.567952e-12,7.555267e-08,6.473317e-10,2.892331e-06,8.879541e-10,1.033623e-06,3.174889e-09,8.853746e-06,2.522952e-05,1.180000e-02,2.144818e-07,1.011018e-08,3.291607e-06,9.178056e-08,5.045917e-03,2.389998e-08,4.211090e-08,1.684436e-09,7.620000e-06
-4.200000e+01,6.516035e-10,2.789491e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.073651e-11,8.573589e-12,7.555225e-08,6.477539e-10,2.890645e-06,8.880217e-10,1.033552e-06,3.176764e-09,8.858901e-06,2.522949e-05,1.180000e-02,2.144818e-07,1.011683e-08,3.291600e-06,9.178124e-08,5.045912e-03,2.390027e-08,4.218583e-08,1.687433e-09,7.620000e-06
-4.150000e+01,6.516044e-10,2.789488e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.074859e-11,8.576952e-12,7.555200e-08,6.480058e-10,2.889658e-06,8.880673e-10,1.033510e-06,3.177883e-09,8.861921e-06,2.522948e-05,1.180000e-02,2.144818e-07,1.012080e-08,3.291595e-06,9.178222e-08,5.045909e-03,2.390050e-08,4.224890e-08,1.689956e-09,7.620000e-06
-4.100000e+01,6.516048e-10,2.789486e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.075393e-11,8.578441e-12,7.555189e-08,6.481174e-10,2.889245e-06,8.880946e-10,1.033492e-06,3.178378e-09,8.863186e-06,2.522947e-05,1.180000e-02,2.144818e-07,1.012256e-08,3.291594e-06,9.178341e-08,5.045908e-03,2.390067e-08,4.230054e-08,1.692022e-09,7.620000e-06
-4.050000e+01,6.516048e-10,2.789486e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.075389e-11,8.578433e-12,7.555189e-08,6.481168e-10,2.889289e-06,8.881071e-10,1.033493e-06,3.178376e-09,8.863050e-06,2.522947e-05,1.180000e-02,2.144818e-07,1.012255e-08,3.291594e-06,9.178475e-08,5.045908e-03,2.390081e-08,4.234149e-08,1.693660e-09,7.620000e-06
-4.000000e+01,6.516045e-10,2.789487e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.074971e-11,8.577273e-12,7.555197e-08,6.480299e-10,2.889684e-06,8.881080e-10,1.033508e-06,3.177990e-09,8.861838e-06,2.522948e-05,1.180000e-02,2.144818e-07,1.012118e-08,3.291595e-06,9.178618e-08,5.045909e-03,2.390092e-08,4.237271e-08,1.694908e-09,7.620000e-06
-3.950000e+01,6.516040e-10,2.789489e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.074249e-11,8.575268e-12,7.555212e-08,6.478797e-10,2.890335e-06,8.881000e-10,1.033533e-06,3.177323e-09,8.859843e-06,2.522949e-05,1.180000e-02,2.144818e-07,1.011882e-08,3.291597e-06,9.178763e-08,5.045911e-03,2.390100e-08,4.239529e-08,1.695811e-09,7.620000e-06
-3.900000e+01,6.516034e-10,2.789492e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.073322e-11,8.572692e-12,7.555232e-08,6.476867e-10,2.891161e-06,8.880855e-10,1.033566e-06,3.176467e-09,8.857320e-06,2.522950e-05,1.180000e-02,2.144818e-07,1.011578e-08,3.291601e-06,9.178907e-08,5.045914e-03,2.390106e-08,4.241039e-08,1.696416e-09,7.620000e-06
-3.850000e+01,6.516027e-10,2.789495e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.072271e-11,8.569769e-12,7.555254e-08,6.474677e-10,2.892090e-06,8.880667e-10,1.033604e-06,3.175495e-09,8.854481e-06,2.522952e-05,1.180000e-02,2.144818e-07,1.011233e-08,3.291604e-06,9.179045e-08,5.045917e-03,2.390112e-08,4.241919e-08,1.696767e-09,7.620000e-06
-3.800000e+01,6.516019e-10,2.789498e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.071161e-11,8.566685e-12,7.555277e-08,6.472367e-10,2.893066e-06,8.880454e-10,1.033643e-06,3.174469e-09,8.851502e-06,2.522953e-05,1.180000e-02,2.144818e-07,1.010869e-08,3.291608e-06,9.179175e-08,5.045920e-03,2.390115e-08,4.242281e-08,1.696912e-09,7.620000e-06
-3.750000e+01,6.516011e-10,2.789502e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.070047e-11,8.563587e-12,7.555300e-08,6.470047e-10,2.894041e-06,8.880229e-10,1.033683e-06,3.173439e-09,8.848520e-06,2.522955e-05,1.180000e-02,2.144818e-07,1.010503e-08,3.291612e-06,9.179294e-08,5.045923e-03,2.390119e-08,4.242232e-08,1.696893e-09,7.620000e-06
-3.700000e+01,6.516004e-10,2.789505e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.068973e-11,8.560599e-12,7.555322e-08,6.467809e-10,2.894982e-06,8.880004e-10,1.033721e-06,3.172446e-09,8.845652e-06,2.522956e-05,1.180000e-02,2.144818e-07,1.010151e-08,3.291616e-06,9.179400e-08,5.045925e-03,2.390121e-08,4.241868e-08,1.696747e-09,7.620000e-06
-3.650000e+01,6.515997e-10,2.789508e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.067967e-11,8.557802e-12,7.555343e-08,6.465713e-10,2.895861e-06,8.879787e-10,1.033757e-06,3.171516e-09,8.842973e-06,2.522957e-05,1.180000e-02,2.144818e-07,1.009821e-08,3.291619e-06,9.179493e-08,5.045928e-03,2.390123e-08,4.241275e-08,1.696510e-09,7.620000e-06
-3.600000e+01,6.515991e-10,2.789511e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.067050e-11,8.555252e-12,7.555362e-08,6.463803e-10,2.896661e-06,8.879585e-10,1.033789e-06,3.170668e-09,8.840536e-06,2.522958e-05,1.180000e-02,2.144818e-07,1.009520e-08,3.291622e-06,9.179574e-08,5.045930e-03,2.390124e-08,4.240528e-08,1.696211e-09,7.620000e-06
-3.550000e+01,6.515985e-10,2.789513e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.066234e-11,8.552982e-12,7.555379e-08,6.462103e-10,2.897371e-06,8.879402e-10,1.033818e-06,3.169913e-09,8.838369e-06,2.522960e-05,1.180000e-02,2.144818e-07,1.009252e-08,3.291625e-06,9.179642e-08,5.045933e-03,2.390125e-08,4.239689e-08,1.695875e-09,7.620000e-06
-3.500000e+01,6.515980e-10,2.789515e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.065527e-11,8.551015e-12,7.555394e-08,6.460628e-10,2.897987e-06,8.879240e-10,1.033843e-06,3.169258e-09,8.836493e-06,2.522960e-05,1.180000e-02,2.144818e-07,1.009020e-08,3.291628e-06,9.179698e-08,5.045934e-03,2.390126e-08,4.238810e-08,1.695524e-09,7.620000e-06
-3.450000e+01,6.515976e-10,2.789517e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.064929e-11,8.549352e-12,7.555407e-08,6.459383e-10,2.898507e-06,8.879100e-10,1.033865e-06,3.168706e-09,8.834913e-06,2.522961e-05,1.180000e-02,2.144818e-07,1.008823e-08,3.291630e-06,9.179742e-08,5.045936e-03,2.390127e-08,4.237931e-08,1.695173e-09,7.620000e-06
-3.400000e+01,6.515973e-10,2.789518e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.064436e-11,8.547980e-12,7.555417e-08,6.458355e-10,2.898936e-06,8.878983e-10,1.033882e-06,3.168249e-09,8.833610e-06,2.522962e-05,1.180000e-02,2.144818e-07,1.008662e-08,3.291631e-06,9.179776e-08,5.045937e-03,2.390127e-08,4.237086e-08,1.694834e-09,7.620000e-06
-3.350000e+01,6.515970e-10,2.789519e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.064041e-11,8.546881e-12,7.555425e-08,6.457532e-10,2.899278e-06,8.878887e-10,1.033896e-06,3.167884e-09,8.832568e-06,2.522962e-05,1.180000e-02,2.144818e-07,1.008532e-08,3.291633e-06,9.179802e-08,5.045938e-03,2.390128e-08,4.236296e-08,1.694519e-09,7.620000e-06
-3.300000e+01,6.515968e-10,2.789520e-10,1.817642e-10,8.597315e-06,1.562685e-06,3.063736e-11,8.546033e-12,7.555431e-08,6.456896e-10,2.899541e-06,8.878812e-10,1.033907e-06,3.167602e-09,8.831765e-06,2.522963e-05,1.180000e-02,2.144818e-07,1.008432e-08,3.291634e-06,9.179820e-08,5.045939e-03,2.390128e-08,4.235578e-08,1.694231e-09,7.620000e-06
